Chapter,Type,Word,Meaning
38,연관어,compassionate,a.동정심 많은
7,표제어,compel,"v.강요하다, 강제하다"
7,연관어,compelling,"a.설득력 있는, 강력한"
40,표제어,compensate,"v.보충하다, 보완하다, 상쇄하다"
40,연관어,compensation,n.보상
1,표제어,competent,"a.유능한, 능력있는, 능숙한"
1,연관어,compete,v.경쟁하다
1,연관어,competence,"n.유능,능력, 경쟁력"
16,표제어,competition,"n.대회, 시합, 경쟁"
16,연관어,competitive,"a.경쟁적인, 경쟁력 있는"
22,표제어,compile,"v.편집하다, 수집하다"
44,표제어,complaint,"n.불평, 불만, 항의"
44,연관어,complain,v.불평하다
36,표제어,complement,"n.보충, 보완, 보충물 v.보완하다"
40,표제어,complete,"a.완전한 v.완성하다, 완료하다"
40,연관어,completely,ad.완전히
40,연관어,completion,"n.완성, 완료"
16,표제어,complex,a.복잡한
16,연관어,complexity,"n.복잡성, 어려움"
16,표제어,complicate,v.복잡하게 만들다
16,연관어,complicated,a.복잡한
43,표제어,compliment,v.칭찬하다 n.칭찬
17,표제어,comply,"v.준수하다, 따르다, 순응하다"
17,연관어,compliance,n.순응
,연관어,be composed of,v.~으로 구성되다
46,표제어,compound,"n.합성물, 혼합물 "
42,표제어,comprehend,v.이해하다
42,연관어,comprehensible,a.이해할 수 있는
42,연관어,comprehension,n.이해
42,연관어,comprehensive,"a.종합적인, 포괄적인"
38,표제어,compress,"v.압축하다, 억압하다, 요약하다"
38,연관어,compression,"n.압축, 요약"
4,표제어,comprise,"v.구성하다, 차지하다"
4,연관어,be comprised of ~,v.~로 구성되다
33,표제어,compromise,"v.타협하다, 절충하다 "
35,표제어,compulsory,"a.강제적인, 의무적인, 필수적인"
33,표제어,compute,v.계산하다
33,연관어,computation,n.계산
19,표제어,conceal,"v.숨기다, 감추다"
38,표제어,conceive,"v.생각해 내다, 구상하다, 고안하다 "
25,표제어,concentrate,v.집중하다
25,연관어,concentration,"n.농도,집중"
30,표제어,concept,n.개념
30,연관어,conception,"n.개념, 생각"
30,연관어,conceptual,"a.개념적인, 구상의"
3,표제어,concern,"n.관심, 우려, 걱정, 관심사"
3,연관어,concerned,"a.관련이 있는, 걱정하는"
3,연관어,unconcerned,a.무관심한
3,연관어,be concerned about,"v.~에 관심을 가지다, 걱정하다"
3,연관어,be concerned with,v.~에 관심이 있다
42,표제어,concise,"a.간결한, 명료한"
42,연관어,concisely,ad.간결하게
43,표제어,conclude,v.결론을 내리다
43,연관어,conclusion,n.결론
8,표제어,concord,"n.화합, 일치"
29,표제어,concrete,"a.구체적인, 사실에 의거한 n.콘크리트"
27,표제어,condense,v.응축하다 
27,연관어,condensed,a.응축된
36,표제어,conducive to,"a.~에 도움이 되는, 이바지하는"
24,표제어,conduct,"n.행동 v.수행하다, 지휘하다, 안내하다, 전도하다 "
24,연관어,conductive,a.전도성이 있는
